Year,Season,T_mean,T_max,T_min,RH_min,Wind_max,Precip,RedFlag,SantaAna,DiurnalRange,Station
2001,Fall,45.754999999999995,55.99,42.01,70.0,1.01,0.0,0,0,13.980000000000004,OZNC1
2002,Fall,49.825049504415425,68.42282608695652,35.97934782608696,4.0,20.0,4.08,0,0,32.44347826086956,OZNC1
2002,Spring,62.557080518726885,83.05626373626373,42.417362637362636,3.0,18.99,0.46999999999999975,0,0,40.638901098901094,OZNC1
2002,Summer,74.19619067606398,97.27130434782607,51.37989130434782,1.0,18.01,0.21,0,0,45.89141304347825,OZNC1
2002,Winter,44.773003967452084,65.36633333333333,30.221888888888888,4.0,22.01,0.9199999999999999,0,0,35.144444444444446,OZNC1
2003,Fall,50.23257017771673,69.1295652173913,36.24989130434783,2.0,14.99,3.1799999999999997,0,0,32.879673913043476,OZNC1
2003,Spring,59.383976159216786,78.26428571428572,42.24263736263736,6.0,18.01,16.16,0,0,36.02164835164836,OZNC1
2003,Summer,75.12603124631838,96.32619565217392,54.83641304347826,4.0,15.99,0.0,0,0,41.48978260869566,OZNC1
2003,Winter,47.414134160116255,65.07887640449438,35.11213483146067,5.0,21.0,7.2299999999999995,0,0,29.96674157303371,OZNC1
2004,Fall,47.705496776835545,66.39282608695653,34.52315217391305,5.0,18.01,12.610000000000001,0,0,31.869673913043485,OZNC1
2004,Spring,62.826005568277054,83.25263736263736,43.2632967032967,4.0,17.0,11.400000000000002,0,0,39.989340659340655,OZNC1
2004,Summer,73.10777365613069,95.81565217391305,50.93489130434783,2.0,18.01,0.02,0,0,44.88076086956522,OZNC1
2004,Winter,46.139093738097465,63.1865934065934,33.527362637362636,7.0,15.99,13.27,0,0,29.659230769230767,OZNC1
2005,Fall,51.40961526025172,69.76097826086956,37.30467391304348,3.0,17.0,2.78,0,0,32.456304347826084,OZNC1
2005,Spring,62.5278029141271,81.11835820895523,43.9710447761194,3.0,17.0,1.8299999999999983,0,0,37.14731343283583,OZNC1
2005,Summer,72.33864207563074,93.4345652173913,50.93565217391304,2.0,14.99,0.58,0,0,42.498913043478254,OZNC1
2005,Winter,45.63809140342913,59.97421052631579,34.98657894736842,10.0,4.0,17.799999999999997,0,0,24.987631578947365,OZNC1
2006,Fall,49.47808830053846,69.73760869565217,35.26032608695652,3.0,17.0,0.6499999999999999,0,0,34.47728260869565,OZNC1
2006,Spring,62.01164033706114,80.08747252747253,44.495274725274726,6.0,17.0,3.6999999999999993,0,0,35.5921978021978,OZNC1
2006,Summer,73.15431611756233,94.09804347826088,51.9895652173913,4.0,14.99,0.3,0,0,42.108478260869575,OZNC1
2006,Winter,43.85913608805645,59.79459770114943,31.94149425287356,2.0,22.01,6.090000000000001,0,0,27.853103448275867,OZNC1
2007,Fall,49.96266566966802,68.9545652173913,35.94608695652174,1.0,21.0,0.76,0,0,33.008478260869566,OZNC1
2007,Spring,63.609820559874905,84.85714285714286,42.83516483516483,1.0,18.99,0.09000000000000008,0,0,42.02197802197803,OZNC1
2007,Summer,72.24507524164936,93.565,51.63065217391305,1.0,18.01,0.41,0,0,41.93434782608695,OZNC1
2007,Winter,45.740426328502416,65.36788888888888,30.967111111111112,3.0,18.01,0.52,0,0,34.400777777777776,OZNC1
2008,Fall,51.5778129568368,70.40304347826087,37.792391304347824,1.0,15.99,1.8900000000000001,0,0,32.610652173913046,OZNC1
2008,Spring,61.95953933747412,82.63681318681319,41.956373626373626,4.0,15.99,0.16999999999999993,0,0,40.68043956043956,OZNC1
2008,Summer,74.78257905005962,96.30347826086957,53.490108695652175,3.0,14.99,0.0,0,0,42.81336956521739,OZNC1
2008,Winter,44.77759939594567,62.30736263736264,31.956263736263736,4.0,20.0,3.8000000000000003,0,0,30.3510989010989,OZNC1
2009,Fall,48.63394491634331,68.17423913043478,34.71815217391305,2.0,17.0,1.0100000000000002,0,0,33.45608695652174,OZNC1
2009,Spring,61.6624358974359,81.13142857142857,43.27604395604396,3.0,18.01,0.5100000000000002,0,0,37.855384615384615,OZNC1
2009,Summer,74.50857198342116,96.69576086956522,53.22760869565217,2.0,15.99,0.08,0,0,43.46815217391305,OZNC1
2009,Winter,46.202601723208986,63.120777777777775,33.577888888888886,4.0,17.0,0.95,0,0,29.54288888888889,OZNC1
2010,Fall,49.71381871639702,66.16326086956522,37.70695652173913,6.0,20.0,8.42,0,0,28.45630434782609,OZNC1
2010,Spring,58.217754817646124,76.48362637362638,41.07703296703297,5.0,18.99,0.20000000000000018,0,0,35.40659340659341,OZNC1
2010,Summer,72.60898006530331,94.90184782608695,50.55576086956522,4.0,15.99,0.05,0,0,44.34608695652173,OZNC1
2010,Winter,45.020705515297905,61.333666666666666,33.25522222222222,2.0,18.99,1.6199999999999999,0,0,28.078444444444443,OZNC1
2011,Fall,49.05938944334651,69.34826086956522,35.0654347826087,3.0,15.99,2.21,0,0,34.282826086956526,OZNC1
2011,Spring,58.4953149386845,77.75857142857143,40.68032967032967,5.0,15.99,0.6700000000000017,0,0,37.07824175824176,OZNC1
2011,Summer,73.20468297101449,94.89304347826086,52.04565217391304,2.0,14.99,1.13,0,0,42.84739130434782,OZNC1
2011,Winter,44.604660225442835,62.21077777777778,31.93477777777778,5.0,17.0,10.12,0,0,30.276,OZNC1
2012,Fall,50.77881909119551,69.16315217391305,37.53304347826087,6.0,14.99,1.0899999999999999,0,0,31.630108695652176,OZNC1
2012,Spring,68.63682934532729,81.5847191011236,51.30370786516853,3.0,17.0,0.35999999999999943,0,0,30.281011235955063,OZNC1
2012,Summer,79.27310349899452,94.61155555555557,62.27688888888889,2.0,21.0,0.1,0,0,32.33466666666668,OZNC1
2012,Winter,48.70446633316823,65.80274725274725,33.551098901098904,2.0,18.99,1.3300000000000005,0,0,32.25164835164835,OZNC1
2013,Fall,50.392864169817265,70.90152173913043,35.21804347826087,3.0,22.01,0.8199999999999998,0,0,35.68347826086956,OZNC1
2013,Spring,64.94884038063385,85.80197802197802,45.0443956043956,2.0,21.0,0.09000000000000008,0,0,40.75758241758241,OZNC1
2013,Summer,73.89578994099789,94.96652173913044,53.39108695652173,1.0,18.01,0.32,0,0,41.57543478260871,OZNC1
2013,Winter,46.04379451825013,64.64388888888888,32.044,3.0,18.01,1.77,0,0,32.599888888888884,OZNC1
2014,Fall,53.07678151386263,72.30554347826087,38.83760869565217,1.0,14.99,4.66,0,0,33.4679347826087,OZNC1
2014,Spring,64.30959706959707,85.06626373626374,44.011538461538464,2.0,18.01,0.5099999999999998,0,0,41.05472527472527,OZNC1
2014,Summer,70.80563953098559,90.11033333333333,54.57711111111111,4.0,15.99,0.18,0,0,35.53322222222222,OZNC1
2014,Winter,50.024398881011855,69.86611111111111,35.03344444444444,3.0,23.0,5.68,0,0,34.83266666666667,OZNC1
2015,Fall,48.93544043005671,67.58739130434783,36.64076086956521,4.0,18.99,1.4300000000000002,0,0,30.94663043478262,OZNC1
2015,Spring,62.2100342273918,81.79175824175825,44.07736263736264,3.0,17.0,1.25,0,0,37.714395604395605,OZNC1
2015,Summer,73.09291213768115,93.67423913043478,54.26065217391304,3.0,17.0,1.2799999999999998,0,0,39.41358695652175,OZNC1
2015,Winter,51.9925751610306,72.11033333333333,37.056444444444445,1.0,15.99,2.26,0,0,35.053888888888885,OZNC1
2016,Fall,50.93082944705487,68.5125,38.26108695652174,5.0,18.01,4.69,0,0,30.251413043478266,OZNC1
2016,Spring,63.32212037962039,81.91186813186813,45.89956043956044,3.0,18.01,0.6900000000000004,0,0,36.012307692307694,OZNC1
2016,Summer,73.53633066248496,95.65184782608695,52.46858695652173,3.0,17.0,0.0,0,0,43.18326086956522,OZNC1
2016,Winter,47.9425283652787,65.61910112359551,34.96730337078652,5.0,18.99,6.56,0,0,30.651797752808996,OZNC1
2017,Fall,53.26860282264994,74.55467391304347,37.66228260869565,1.0,21.0,0.039999999999999925,0,0,36.892391304347825,OZNC1
2017,Spring,63.05356067845199,82.33999999999999,45.033846153846156,3.0,23.0,0.5799999999999983,0,0,37.30615384615383,OZNC1
2017,Summer,73.78806060964084,94.2495652173913,55.13097826086957,6.0,17.0,0.53,0,0,39.118586956521725,OZNC1
2017,Winter,46.068977455716585,60.833000000000006,35.29922222222222,9.0,17.0,14.93,0,0,25.533777777777786,OZNC1
2018,Fall,50.9663125,69.89108695652173,37.836739130434786,2.0,20.0,1.98,0,0,32.054347826086946,OZNC1
2018,Spring,63.06185081223125,83.14186813186814,44.59439560439561,4.0,18.99,0.2999999999999998,0,0,38.54747252747253,OZNC1
2018,Summer,75.98731155482042,97.93478260869566,55.478913043478265,3.0,18.99,0.0,0,0,42.45586956521739,OZNC1
2018,Winter,46.8613655394525,63.787222222222226,34.543,6.0,18.99,7.0,0,0,29.244222222222227,OZNC1
2019,Fall,50.10093245402991,68.77304347826087,36.44521739130435,2.0,21.0,7.12,0,0,32.32782608695653,OZNC1
2019,Spring,60.74772774327122,78.81395604395604,44.526153846153846,11.0,15.99,1.8599999999999994,0,0,34.28780219780219,OZNC1
2019,Summer,72.67544836956522,94.0754347826087,52.50032608695652,4.0,15.99,0.74,0,0,41.575108695652176,OZNC1
2019,Winter,43.633611733274776,57.49922222222222,33.23277777777778,5.0,18.99,14.3,0,0,24.266444444444446,OZNC1
2020,Fall,52.089484089477004,73.8586956521739,36.59782608695652,5.0,20.0,1.75,0,0,37.260869565217384,OZNC1
2020,Spring,61.904253663003665,80.62681318681318,44.714065934065935,7.0,17.0,3.16,0,0,35.912747252747245,OZNC1
2020,Summer,75.04483695652173,97.28260869565217,54.27173913043478,4.0,18.0,0.0,0,0,43.01086956521739,OZNC1
2020,Winter,44.5931698917025,61.97791208791209,32.38406593406593,9.0,14.0,4.53,0,0,29.593846153846158,OZNC1
2021,Fall,50.64378465658476,69.54347826086956,37.03260869565217,4.0,18.0,5.68,0,0,32.51086956521739,OZNC1
2021,Spring,65.43617252312904,87.04395604395604,44.8021978021978,5.0,18.0,0.16999999999999993,0,0,42.24175824175824,OZNC1
2021,Summer,76.21824065322411,97.06521739130434,56.34782608695652,5.0,17.0,0.0,0,0,40.71739130434782,OZNC1
2021,Winter,44.83299114331723,63.044444444444444,31.81111111111111,7.0,21.0,2.9400000000000004,0,0,31.233333333333334,OZNC1
2022,Fall,49.85078496636849,68.32608695652173,36.47826086956522,5.0,18.0,15.44,0,0,31.847826086956516,OZNC1
2022,Spring,63.62785583981236,83.98901098901099,44.7032967032967,5.0,14.99,0.21999999999999975,0,0,39.28571428571429,OZNC1
2022,Summer,76.27010000224347,96.03260869565217,57.34782608695652,3.0,19.0,0.35,0,0,38.68478260869565,OZNC1
2022,Winter,46.80382447665057,66.36666666666666,32.144444444444446,4.0,17.0,1.6600000000000001,0,0,34.222222222222214,OZNC1
2023,Fall,52.302071518588534,70.8913043478261,38.82608695652174,4.0,17.0,3.5900000000000003,0,0,32.06521739130435,OZNC1
2023,Spring,59.15440356744704,77.96703296703296,41.78021978021978,8.0,21.0,0.5399999999999991,0,0,36.18681318681318,OZNC1
2023,Summer,72.1231884057971,91.91304347826087,53.23913043478261,5.0,14.99,2.28,0,0,38.673913043478265,OZNC1
2023,Winter,41.398375316310094,55.03333333333333,31.433333333333334,10.0,19.0,18.630000000000003,0,0,23.599999999999998,OZNC1
2024,Fall,52.13822463768116,72.73913043478261,37.92391304347826,6.0,20.0,0.8699999999999999,0,0,34.81521739130435,OZNC1
2024,Spring,61.98855311355311,81.12087912087912,43.91208791208791,9.0,19.0,1.2399999999999984,0,0,37.20879120879121,OZNC1
2024,Summer,74.8125,96.27173913043478,54.358695652173914,5.0,17.0,0.3,0,0,41.91304347826087,OZNC1
2024,Winter,44.9860248447205,59.362637362637365,34.34065934065934,10.0,16.0,14.0,0,0,25.021978021978022,OZNC1
2025,Spring,56.228304002760524,76.11904761904762,39.19047619047619,9.0,16.0,0.4399999999999995,0,0,36.92857142857143,OZNC1
2025,Winter,45.88506441223832,63.91111111111111,32.666666666666664,4.0,17.0,4.8100000000000005,0,0,31.244444444444447,OZNC1
