Year,Season,PDSI
2000,Fall,-0.3533333333333333
2000,Spring,1.3800000000000001
2000,Summer,0.8366666666666666
2000,Winter,-0.27333333333333326
2001,Fall,-0.47000000000000003
2001,Spring,0.6166666666666667
2001,Summer,-0.32333333333333336
2001,Winter,1.26
2002,Fall,-1.0966666666666667
2002,Spring,-4.323333333333333
2002,Summer,-5.403333333333333
2002,Winter,-2.033333333333333
2003,Fall,-0.88
2003,Spring,1.97
2003,Summer,0.9666666666666667
2003,Winter,-0.006666666666666672
2004,Fall,3.1133333333333333
2004,Spring,-2.8533333333333335
2004,Summer,-3.4633333333333334
2004,Winter,-1.66
2005,Fall,3.5833333333333335
2005,Spring,5.34
2005,Summer,4.416666666666667
2005,Winter,6.346666666666667
2006,Fall,-1.3566666666666667
2006,Spring,3.3366666666666664
2006,Summer,-0.2866666666666666
2006,Winter,1.7633333333333334
2007,Fall,-4.996666666666667
2007,Spring,-4.920000000000001
2007,Summer,-5.886666666666667
2007,Winter,-2.8466666666666662
2008,Fall,-3.776666666666667
2008,Spring,-4.163333333333333
2008,Summer,-4.31
2008,Winter,-3.3000000000000003
2009,Fall,0.8266666666666667
2009,Spring,-3.986666666666667
2009,Summer,-3.91
2009,Winter,-3.706666666666667
2010,Fall,2.393333333333333
2010,Spring,0.7433333333333333
2010,Summer,0.8366666666666666
2010,Winter,0.9199999999999999
2011,Fall,0.023333333333333355
2011,Spring,0.06333333333333335
2011,Summer,0.37333333333333335
2011,Winter,2.4499999999999997
2012,Fall,-3.6466666666666665
2012,Spring,-2.6133333333333333
2012,Summer,-3.8266666666666667
2012,Winter,-2.106666666666667
2013,Fall,-6.703333333333333
2013,Spring,-6.510000000000001
2013,Summer,-7.413333333333333
2013,Winter,-4.3566666666666665
2014,Fall,-6.283333333333334
2014,Spring,-7.363333333333333
2014,Summer,-7.616666666666667
2014,Winter,-7.026666666666666
2015,Fall,-5.06
2015,Spring,-6.133333333333333
2015,Summer,-5.516666666666667
2015,Winter,-5.676666666666667
2016,Fall,-4.533333333333333
2016,Spring,-5.303333333333334
2016,Summer,-5.66
2016,Winter,-4.916666666666667
2017,Fall,-3.8666666666666667
2017,Spring,-2.2933333333333334
2017,Summer,-3.0966666666666662
2017,Winter,-1.3266666666666667
2018,Fall,-4.3500000000000005
2018,Spring,-4.553333333333334
2018,Summer,-4.833333333333333
2018,Winter,-4.63
2019,Fall,0.9433333333333334
2019,Spring,1.5633333333333332
2019,Summer,1.5333333333333332
2019,Winter,1.4466666666666665
2020,Fall,-1.67
2020,Spring,1.5599999999999998
2020,Summer,-0.30666666666666664
2020,Winter,-0.71
2021,Fall,-4.846666666666667
2021,Spring,-5.763333333333333
2021,Summer,-7.19
2021,Winter,-3.1833333333333336
2022,Fall,-2.813333333333333
2022,Spring,-4.773333333333333
2022,Summer,-4.996666666666667
2022,Winter,-4.01
2023,Fall,1.5233333333333334
2023,Spring,3.5766666666666667
2023,Summer,3.11
2023,Winter,3.7533333333333334
2024,Fall,-1.8766666666666667
2024,Spring,2.796666666666667
2024,Summer,0.9633333333333333
2024,Winter,2.3066666666666666
2025,Spring,-3.43
2025,Winter,-3.223333333333333
